word, 平仮名, hiragana, english, chinese
第一課, だいいっか, daiikka, Lesson 1,
単語, たんご, tango, Vocabulary,
文法, ぶんぽう, bunpou, Grammar,
会話, かいわ, kaiwa, Conversation,
練習, れんしゅう, renshuu, Practice,
留学生, りゅうがくせい, ryuugakusei, International student,
先生, せんせい, sensei, Teacher,
教授, きょうじゅ, kyouju, Professor,
会社員, かいしゃいん, kaishain, Company employee,
店員, てんいん, ten'in, Shop assistant,
企業, きぎょう, kigyou, Business,
大学, だいがく, daigaku, University,
父, ちち, chichi, Father,
お父さん, おとうさん, otousan, Father (polite),
母, はは, haha, Mother,
お母さん, おかあさん, okaasan, Mother (polite),
兄, あに, ani, Older brother,
姉, あね, ane, Older sister,
弟, おとうと, otouto, Younger brother,
妹, いもうと, imouto, Younger sister,
友達, ともだち, tomodachi, Friend, 
家族, かぞく, kazoku, Family,
課長, かちょう, kachou, Section chief,
部長, ぶちょう, buchou, Department head,
社長, しゃちょう, shachou, Company president,
出迎え, でむかえ, demukae, Welcome,
お土産, おみやげ, omiyage, Souvenir,
旅行, りょこう, ryokou, Travel,
あの人, あのひと, ano hito, That person,
貴方, あなた, anata, You,
小野, おの, ono, (surname),
山田, やまだ, yamada, (surname),
佐藤, さとう, satou, (surname),
鈴木, すずき, suzuki, (surname),
田中, たなか, tanaka, (surname),
高橋, たかはし, takahashi, (surname),
中村, なかむら, nakamura, (surname),
渡辺, わたなべ, watanabe, (surname),
伊藤, いとう, itou, (surname),
小林, こばやし, kobayashi, (surname),
太郎, たろう, tarou, (given name),
日中商事, にっちゅうしょうじ, nichiyuu shouji, 日中商社,
本, ほん, hon, Book,
鉛筆, えんぴつ, enpitsu, Pencil,
傘, かさ, kasa, Umbrella,
靴, くつ, kutsu, Shoes,
靴下, くつした, kutsushita, Socks, 袜子
新聞, しんぶん, shinbun, Newspaper, 报纸
雑誌, ざっし, zasshi, Magazine, 
辞書, じしょ, jisho, Dictionary, 字典
電話, でんわ, denwa, Telephone, 
時計, とけい, tokei, Watch, 钟表
腕時計, うでどけい, udedokei, Wristwatch, 手表
机, つくえ, tsukue, Desk, 桌子
椅子, いす, isu, Chair, 椅子
鍵, かぎ, kagi, Key, 钥匙
手帳, てちょう, techou, Notebook, 记事本
写真, しゃしん, shashin, Photograph, 照片
車, くるま, kuruma, Car, 汽车
自転車, じてんしゃ, jitensha, Bicycle, 自行车
自動車, じどうしゃ, jidousha, Automobile, 汽车
名産品, めいさんひん, meisanhin, Specialty product, 名特产
方, かた, kata, Person (polite), 位
お客様, おきゃくさま, okyakusama, Customer, 客人
これ, これ, kore, This,
それ, それ, sore, That,
あれ, あれ, are, That over there, 那个
どれ, どれ, dore, Which, 哪个
誰, だれ, dare, Who, 誰ですか
どなた, どなた, donata, Who (polite), 哪位
製品, せいひん, seihin, Product, 产品
食堂, しょくどう, shokudou, Cafeteria, 
郵便局, ゆうびんきょく, yuubinkyoku, Post office, 
銀行, ぎんこう, ginkou, Bank,
病院, びょういん, byouin, Hospital, 医院
図書館, としょかん, toshokan, Library, 图书馆
公園, こうえん, kouen, Park, 公园
建物, たてもの, tatemono, Building, 建筑物
売り場, うりば, uriba, Sales floor, 销售区
入り口, いりぐち, iriguchi, Entrance, 入口
出口, でぐち, deguchi, Exit, 出口
事務所, じむしょ, jimusho, Office, 办公室
喫茶店, きっさてん, kissaten, Coffee shop, 咖啡店
受付, うけつけ, uketsuke, Reception, 接待处
バーゲン会場, バーゲンかいじょう, baagen kaijou, Bargain venue, 特卖会场
服, ふく, fuku, Clothing, 
国, くに, kuni, Country, 国家
地図, ちず, chizu, Map, 地图
隣, となり, tonari, Next to, 旁边
周辺, しゅうへん, shuuhen, Surroundings, 周围
今日, きょう, kyou, Today, 今天
明日, あした, ashita, Tomorrow, 明天
朝っで, あさって, asatte, Day after tomorrow, 后天
昨日, きのう, kinou, Yesterday, 昨天
一昨日, おととい, ototoi, Day before yesterday, 前天
月曜日, げつようび, getsuyoubi, Monday, 星期一
火曜日, かようび, kayoubi, Tuesday, 星期二
水曜日, すいようび, suiyoubi, Wednesday, 星期三
木曜日, もくようび, mokuyoubi, Thursday, 星期四
金曜日, きんようび, kinyoubi, Friday, 星期五
土曜日, どようび, doyoubi, Saturday, 星期六
日曜日, にちようび, nichiyoubi, Sunday, 星期日
部屋, へや, heya, Room, 房间
庭, にわ, niwa, Garden, 花园
家, いえ, ie, House, 
居間, いま, ima, Living room, 客厅
冷蔵庫, れいぞうこ, reizouko, Refrigerator, 冰箱
壁, かべ, kabe, Wall, 墙
本棚, ほんだな, hondana, Bookshelf, 书架
猫, ねこ, neko, Cat, 猫
犬, いぬ, inu, Dog, 狗
鳥, とり, tori, Bird, 鸟
魚, さかな, sakana, Fish, 鱼
箱, はこ, hako, Box, 盒子
眼鏡, めがね, megane, Glasses, 眼镜
子供, こども, kodomo, Child, 孩子
兄弟, きょうだい, kyoudai, Siblings, 兄弟姐妹
両親, りょうしん, ryoushin, Parents, 父母
男, おとこ, otoko,,
女, おんな, onna,,
生徒, せいと, seito, Student, 学生
上, うえ, ue, Up, 上
下, した, shita, Down, 下
左, ひだり, hidari, Left, 左
右, みぎ, migi, Right, 右
中, なか, naka, Middle, 中
外, そと, soto, Outside, 外
前, まえ, mae, Front, 前
後ろ, うしろ, ushiro, Back, 后面
横, よこ, yoko, Side, 旁边
御飯, ごはん, gohan, Rice, 米饭
教室, きょうしつ, kyoushitsu, Classroom, 教室
売店, ばいてん, baiten, Shop, 小卖部
先週, せんしゅう, senshuu, Last week, 上周
今週, こんしゅう, konshuu, This week, 本周
来週, らいしゅう, raishuu, Next week, 下周
再来週, さらいしゅう, sarai shuu, Week after next, 下下周
毎日, まいにち, mainichi, Every day, 每天
毎週, まいしゅう, maishuu, Every week, 每周
毎朝, まいあさ, maiasa, Every morning, 每天早上
毎晩, まいばん, maiban, Every evening, 每天晚上
午前, ごぜん, gozen, Morning, 上午
午後, ごご, gogo, Afternoon, 下午
今朝, けさ, kesa, This morning, 今天早上
来年, らいねん, rainen, Next year, 明年
去年, きょねん, kyonen, Last year, 去年
夜, よる, yoru, Night, 夜
昼, ひる, hiru, Daytime, 白天
晩御飯, ばんごはん, bangohan, Dinner, 晚饭
朝御飯, あさごはん, asagohan, Breakfast, 早餐
昼御飯, ひるごはん, hirugohan, Lunch, 午餐
おやつ, おやつ, oyatsu, Snack, 点心
学校, がっこう, gakkou, School, 学校
試験, しけん, shiken, Exam, 考试
仕事, しごと, shigoto, Work, 工作
遅刻, ちこく, chikoku, Late, 迟到
休み, やすみ, yasumi, Rest, 休息
休暇, きゅうか, kyuuka, Vacation, 假期
研修, けんしゅう, kenshuu, Training, 培训
展覧会, てんらんかい, tenrankai, Exhibition, 展览会
歓迎会, かんげいかい, kangeikai, Welcome party, 欢迎会
送別会, そうべつかい, soubetsukai, Farewell party,
お宅, おたく, otaku, Your home, 贵宅